MaGia,MaLich,HangGhe,Gia,ThoiDiemBatDau,ThoiDiemKetThuc
MG0000001,LB000001,Pho thong,3915000,2025-06-18 19:00:00,2025-12-01 18:00:00
MG0000002,LB000001,Thuong gia,11838000,2025-09-27 19:00:00,2025-12-01 14:00:00
MG0000003,LB000001,Hang nhat,26877000,2025-06-08 19:00:00,2025-12-01 00:00:00
MG0000004,LB000002,Pho thong,1777000,2024-12-11 17:45:00,2024-12-21 10:45:00
MG0000005,LB000002,Thuong gia,5386000,2024-07-17 17:45:00,2024-12-20 23:45:00
MG0000006,LB000002,Hang nhat,27968000,2024-07-05 17:45:00,2024-12-21 09:45:00
MG0000007,LB000003,Pho thong,3732000,2025-08-12 10:00:00,2025-10-25 04:00:00
MG0000008,LB000003,Thuong gia,5584000,2025-07-27 10:00:00,2025-10-25 05:00:00
MG0000009,LB000003,Hang nhat,25197000,2025-07-28 10:00:00,2025-10-25 07:00:00
MG0000010,LB000004,Pho thong,1911000,2024-01-15 13:30:00,2024-04-17 17:30:00
MG0000011,LB000004,Thuong gia,4498000,2024-04-04 13:30:00,2024-04-17 19:30:00
MG0000012,LB000004,Hang nhat,21727000,2024-01-10 13:30:00,2024-04-17 19:30:00
MG0000013,LB000005,Pho thong,1608000,2024-10-09 05:30:00,2025-03-20 10:30:00
MG0000014,LB000005,Thuong gia,5735000,2025-03-01 05:30:00,2025-03-20 07:30:00
MG0000015,LB000005,Hang nhat,44659000,2025-01-03 05:30:00,2025-03-20 21:30:00
MG0000016,LB000006,Pho thong,3470000,2025-01-11 13:30:00,2025-04-20 22:30:00
MG0000017,LB000006,Thuong gia,7263000,2025-01-15 13:30:00,2025-04-21 01:30:00
MG0000018,LB000006,Hang nhat,47466000,2024-10-29 13:30:00,2025-04-20 14:30:00
MG0000019,LB000007,Pho thong,3467000,2024-04-27 14:15:00,2024-10-11 18:15:00
MG0000020,LB000007,Thuong gia,8547000,2024-05-26 14:15:00,2024-10-12 08:15:00
MG0000021,LB000007,Hang nhat,22971000,2024-08-01 14:15:00,2024-10-11 16:15:00
MG0000022,LB000008,Pho thong,4181000,2025-10-29 12:30:00,2025-11-15 10:30:00
MG0000023,LB000008,Thuong gia,5532000,2025-08-02 12:30:00,2025-11-15 09:30:00
MG0000024,LB000008,Hang nhat,36218000,2025-06-20 12:30:00,2025-11-15 05:30:00
MG0000025,LB000009,Pho thong,1912000,2024-03-23 15:15:00,2024-07-05 10:15:00
MG0000026,LB000009,Thuong gia,10015000,2024-04-30 15:15:00,2024-07-04 15:15:00
MG0000027,LB000009,Hang nhat,18773000,2024-02-04 15:15:00,2024-07-05 03:15:00
MG0000028,LB000010,Pho thong,3974000,2025-07-26 22:30:00,2025-09-02 19:30:00
MG0000029,LB000010,Thuong gia,4920000,2025-08-02 22:30:00,2025-09-02 01:30:00
MG0000030,LB000010,Hang nhat,12541000,2025-03-09 22:30:00,2025-09-02 02:30:00
MG0000031,LB000011,Pho thong,1856000,2023-12-19 07:45:00,2024-03-27 14:45:00
MG0000032,LB000011,Thuong gia,11649000,2023-11-05 07:45:00,2024-03-27 09:45:00
MG0000033,LB000011,Hang nhat,23607000,2023-10-03 07:45:00,2024-03-27 10:45:00
MG0000034,LB000012,Pho thong,2706000,2025-09-21 15:45:00,2025-12-08 09:45:00
MG0000035,LB000012,Thuong gia,13952000,2025-09-29 15:45:00,2025-12-07 22:45:00
MG0000036,LB000012,Hang nhat,30307000,2025-06-28 15:45:00,2025-12-07 18:45:00
MG0000037,LB000013,Pho thong,4003000,2024-06-22 12:15:00,2024-08-14 00:15:00
MG0000038,LB000013,Thuong gia,6890000,2024-03-26 12:15:00,2024-08-13 16:15:00
MG0000039,LB000013,Hang nhat,45149000,2024-08-07 12:15:00,2024-08-14 00:15:00
MG0000040,LB000014,Pho thong,1812000,2025-04-30 16:30:00,2025-07-20 14:30:00
MG0000041,LB000014,Thuong gia,11783000,2025-02-22 16:30:00,2025-07-20 13:30:00
MG0000042,LB000014,Hang nhat,36390000,2025-06-30 16:30:00,2025-07-20 11:30:00
MG0000043,LB000015,Pho thong,3016000,2025-07-30 14:30:00,2025-12-20 05:30:00
MG0000044,LB000015,Thuong gia,14147000,2025-07-15 14:30:00,2025-12-20 07:30:00
MG0000045,LB000015,Hang nhat,22469000,2025-06-24 14:30:00,2025-12-19 15:30:00
MG0000046,LB000016,Pho thong,4578000,2024-01-24 10:00:00,2024-07-15 19:00:00
MG0000047,LB000016,Thuong gia,5696000,2024-03-20 10:00:00,2024-07-16 02:00:00
MG0000048,LB000016,Hang nhat,32157000,2024-04-18 10:00:00,2024-07-15 15:00:00
MG0000049,LB000017,Pho thong,1098000,2025-07-07 05:15:00,2025-12-07 04:15:00
MG0000050,LB000017,Thuong gia,3809000,2025-06-26 05:15:00,2025-12-06 21:15:00
MG0000051,LB000017,Hang nhat,30566000,2025-11-26 05:15:00,2025-12-07 02:15:00
MG0000052,LB000018,Pho thong,3065000,2025-06-13 16:30:00,2025-08-26 09:30:00
MG0000053,LB000018,Thuong gia,12415000,2025-03-30 16:30:00,2025-08-26 08:30:00
MG0000054,LB000018,Hang nhat,13877000,2025-05-11 16:30:00,2025-08-26 12:30:00
MG0000055,LB000019,Pho thong,2527000,2024-09-13 05:30:00,2025-01-03 15:30:00
MG0000056,LB000019,Thuong gia,7831000,2024-12-19 05:30:00,2025-01-04 03:30:00
MG0000057,LB000019,Hang nhat,17664000,2024-10-07 05:30:00,2025-01-03 21:30:00
MG0000058,LB000020,Pho thong,2572000,2023-09-29 01:30:00,2024-02-15 20:30:00
MG0000059,LB000020,Thuong gia,13494000,2023-12-04 01:30:00,2024-02-15 17:30:00
MG0000060,LB000020,Hang nhat,13916000,2024-01-25 01:30:00,2024-02-15 07:30:00
MG0000061,LB000021,Pho thong,4691000,2024-11-29 03:00:00,2025-05-17 00:00:00
MG0000062,LB000021,Thuong gia,8828000,2025-03-15 03:00:00,2025-05-16 13:00:00
MG0000063,LB000021,Hang nhat,16585000,2025-03-21 03:00:00,2025-05-17 01:00:00
MG0000064,LB000022,Pho thong,4691000,2025-03-24 10:15:00,2025-03-27 01:15:00
MG0000065,LB000022,Thuong gia,11359000,2024-11-28 10:15:00,2025-03-26 20:15:00
MG0000066,LB000022,Hang nhat,17596000,2024-11-02 10:15:00,2025-03-27 05:15:00
MG0000067,LB000023,Pho thong,3890000,2025-03-07 03:00:00,2025-05-03 08:00:00
MG0000068,LB000023,Thuong gia,3602000,2025-04-16 03:00:00,2025-05-04 01:00:00
MG0000069,LB000023,Hang nhat,48431000,2024-12-30 03:00:00,2025-05-04 01:00:00
MG0000070,LB000024,Pho thong,3299000,2025-09-13 21:00:00,2025-10-06 18:00:00
MG0000071,LB000024,Thuong gia,4439000,2025-04-14 21:00:00,2025-10-06 08:00:00
MG0000072,LB000024,Hang nhat,33781000,2025-05-11 21:00:00,2025-10-06 02:00:00
MG0000073,LB000025,Pho thong,3561000,2024-05-30 02:15:00,2024-11-06 12:15:00
MG0000074,LB000025,Thuong gia,5451000,2024-06-13 02:15:00,2024-11-06 17:15:00
MG0000075,LB000025,Hang nhat,25831000,2024-08-16 02:15:00,2024-11-06 17:15:00
MG0000076,LB000026,Pho thong,2128000,2025-03-22 19:15:00,2025-09-12 04:15:00
MG0000077,LB000026,Thuong gia,10454000,2025-08-22 19:15:00,2025-09-12 04:15:00
MG0000078,LB000026,Hang nhat,31505000,2025-04-18 19:15:00,2025-09-12 16:15:00
MG0000079,LB000027,Pho thong,4720000,2024-11-17 09:45:00,2025-03-29 04:45:00
MG0000080,LB000027,Thuong gia,6420000,2025-03-09 09:45:00,2025-03-28 21:45:00
MG0000081,LB000027,Hang nhat,49354000,2024-12-04 09:45:00,2025-03-28 13:45:00
MG0000082,LB000028,Pho thong,4232000,2025-03-30 23:00:00,2025-09-16 01:00:00
MG0000083,LB000028,Thuong gia,6174000,2025-06-29 23:00:00,2025-09-16 18:00:00
MG0000084,LB000028,Hang nhat,21270000,2025-08-17 23:00:00,2025-09-16 14:00:00
MG0000085,LB000029,Pho thong,3687000,2024-08-02 21:00:00,2024-09-27 14:00:00
MG0000086,LB000029,Thuong gia,13864000,2024-07-19 21:00:00,2024-09-27 12:00:00
MG0000087,LB000029,Hang nhat,26943000,2024-09-11 21:00:00,2024-09-27 00:00:00
MG0000088,LB000030,Pho thong,2201000,2024-01-04 05:00:00,2024-03-17 04:00:00
