MaLich,MaNV,VaiTro
LB000001,NV001620,Phi cong chinh
LB000001,NV000281,Phi cong phu
LB000001,NV001884,Tiep vien truong
LB000001,NV000727,Tiep vien
LB000002,NV000571,Phi cong chinh
LB000002,NV000526,Phi cong phu
LB000002,NV001873,Tiep vien truong
LB000002,NV000295,Tiep vien
LB000003,NV001686,Phi cong chinh
LB000003,NV001843,Phi cong phu
LB000003,NV000248,Tiep vien truong
LB000003,NV001512,Tiep vien
LB000003,NV001088,Tiep vien
LB000003,NV000085,Tiep vien
LB000004,NV000087,Phi cong chinh
LB000004,NV000249,Phi cong phu
LB000004,NV000623,Tiep vien truong
LB000004,NV001304,Tiep vien
LB000005,NV001483,Phi cong chinh
LB000005,NV000083,Phi cong phu
LB000005,NV000513,Tiep vien truong
LB000005,NV001807,Tiep vien
LB000005,NV001649,Tiep vien
LB000005,NV001768,Tiep vien
LB000006,NV001323,Phi cong chinh
LB000006,NV001012,Phi cong phu
LB000006,NV001168,Tiep vien truong
LB000006,NV001510,Tiep vien
LB000007,NV000628,Phi cong chinh
LB000007,NV000018,Phi cong phu
LB000007,NV001760,Tiep vien truong
LB000007,NV001088,Tiep vien
LB000008,NV000823,Phi cong chinh
LB000008,NV000628,Phi cong phu
LB000008,NV000565,Tiep vien truong
LB000008,NV001959,Tiep vien
LB000009,NV000812,Phi cong chinh
LB000009,NV000268,Phi cong phu
LB000009,NV000978,Tiep vien truong
LB000009,NV000284,Tiep vien
LB000010,NV000875,Phi cong chinh
LB000010,NV000828,Phi cong phu
LB000010,NV000701,Tiep vien truong
LB000010,NV000132,Tiep vien
LB000010,NV001862,Tiep vien
LB000010,NV001193,Tiep vien
LB000011,NV001297,Phi cong chinh
LB000011,NV000309,Phi cong phu
LB000011,NV000230,Tiep vien truong
LB000011,NV001422,Tiep vien
LB000011,NV000761,Tiep vien
LB000012,NV001587,Phi cong chinh
LB000012,NV001548,Phi cong phu
LB000012,NV001482,Tiep vien truong
LB000012,NV000500,Tiep vien
LB000012,NV001773,Tiep vien
LB000013,NV000190,Phi cong chinh
LB000013,NV000125,Phi cong phu
LB000013,NV000615,Tiep vien truong
LB000013,NV001982,Tiep vien
LB000013,NV000756,Tiep vien
LB000013,NV000233,Tiep vien
LB000014,NV000552,Phi cong chinh
LB000014,NV000265,Phi cong phu
LB000014,NV000735,Tiep vien truong
LB000014,NV001176,Tiep vien
LB000014,NV001618,Tiep vien
LB000015,NV000889,Phi cong chinh
LB000015,NV000389,Phi cong phu
LB000015,NV000919,Tiep vien truong
LB000015,NV000542,Tiep vien
LB000015,NV001705,Tiep vien
LB000016,NV000601,Phi cong chinh
LB000016,NV001749,Phi cong phu
LB000016,NV001641,Tiep vien truong
LB000016,NV000207,Tiep vien
LB000016,NV001550,Tiep vien
LB000016,NV001618,Tiep vien
LB000017,NV000409,Phi cong chinh
LB000017,NV001295,Phi cong phu
LB000017,NV000655,Tiep vien truong
LB000017,NV000428,Tiep vien
LB000017,NV001204,Tiep vien
LB000017,NV000974,Tiep vien
LB000018,NV000617,Phi cong chinh
LB000018,NV001620,Phi cong phu
LB000018,NV001432,Tiep vien truong
LB000018,NV000587,Tiep vien
LB000018,NV001736,Tiep vien
LB000018,NV000843,Tiep vien
LB000019,NV001897,Phi cong chinh
LB000019,NV001912,Phi cong phu
LB000019,NV000618,Tiep vien truong
LB000019,NV000085,Tiep vien
LB000020,NV001998,Phi cong chinh
LB000020,NV000734,Phi cong phu
LB000020,NV000706,Tiep vien truong
LB000020,NV000186,Tiep vien
LB000020,NV000550,Tiep vien
LB000021,NV001376,Phi cong chinh
LB000021,NV001782,Phi cong phu
LB000021,NV000556,Tiep vien truong
LB000021,NV001669,Tiep vien
LB000021,NV001281,Tiep vien
LB000022,NV000953,Phi cong chinh
LB000022,NV001629,Phi cong phu
LB000022,NV000390,Tiep vien truong
