MaHanhLy,MaVe,TrongLuong,LoaiHanhLy
HL00000001,VE00014593,4.14,Xach tay
HL00000002,VE00036049,0.63,Xach tay
HL00000003,VE00032099,6.14,Xach tay
HL00000004,VE00018290,4.24,Xach tay
HL00000005,VE00013435,9.71,Ky gui
HL00000006,VE00071483,14.59,Ky gui
HL00000007,VE00011396,18.16,Ky gui
HL00000008,VE00077398,29.02,Ky gui
HL00000009,VE00055303,2.36,Xach tay
HL00000010,VE00004166,8.91,Ky gui
HL00000011,VE00003906,5.75,Xach tay
HL00000012,VE00012281,4.6,Xach tay
HL00000013,VE00028658,27.92,Ky gui
HL00000014,VE00030496,1.55,Xach tay
HL00000015,VE00030496,11.16,Ky gui
HL00000016,VE00066238,2.39,Xach tay
HL00000017,VE00078908,4.69,Xach tay
HL00000018,VE00003479,3.39,Xach tay
HL00000019,VE00026063,4.31,Xach tay
HL00000020,VE00054988,1.7,Xach tay
HL00000021,VE00028894,5.23,Xach tay
HL00000022,VE00028894,22.87,Ky gui
HL00000023,VE00077237,7.16,Ky gui
HL00000024,VE00036464,1.17,Xach tay
HL00000025,VE00000852,6.21,Xach tay
HL00000026,VE00000852,19.81,Ky gui
HL00000027,VE00020927,3.08,Xach tay
HL00000028,VE00020927,25.65,Ky gui
HL00000029,VE00055393,2.21,Xach tay
HL00000030,VE00055393,9.19,Ky gui
HL00000031,VE00044598,28.91,Ky gui
HL00000032,VE00036422,2.11,Xach tay
HL00000033,VE00020380,4.57,Xach tay
HL00000034,VE00028222,5.95,Xach tay
HL00000035,VE00044119,4.81,Xach tay
HL00000036,VE00044119,28.23,Ky gui
HL00000037,VE00013397,3.6,Xach tay
HL00000038,VE00049798,12.36,Ky gui
HL00000039,VE00012677,6.8,Xach tay
HL00000040,VE00047053,9.78,Ky gui
HL00000041,VE00045083,22.04,Ky gui
HL00000042,VE00079132,20.23,Ky gui
HL00000043,VE00034672,22.27,Ky gui
HL00000044,VE00005696,2.76,Xach tay
HL00000045,VE00060218,26.73,Ky gui
HL00000046,VE00070285,2.88,Xach tay
HL00000047,VE00016362,2.47,Xach tay
HL00000048,VE00049616,5.8,Xach tay
HL00000049,VE00049616,27.89,Ky gui
HL00000050,VE00010329,3.55,Xach tay
HL00000051,VE00072358,6.49,Xach tay
HL00000052,VE00072358,30.57,Ky gui
HL00000053,VE00038428,0.56,Xach tay
HL00000054,VE00047401,2.4,Xach tay
HL00000055,VE00075675,0.55,Xach tay
HL00000056,VE00025204,3.18,Xach tay
HL00000057,VE00009117,15.66,Ky gui
HL00000058,VE00006007,5.29,Xach tay
HL00000059,VE00029872,2.96,Xach tay
HL00000060,VE00037931,3.24,Xach tay
HL00000061,VE00010459,5.47,Xach tay
HL00000062,VE00013239,23.49,Ky gui
HL00000063,VE00049824,5.33,Xach tay
HL00000064,VE00036435,16.15,Ky gui
HL00000065,VE00047820,2.38,Xach tay
HL00000066,VE00021320,21.68,Ky gui
HL00000067,VE00048521,4.55,Xach tay
HL00000068,VE00046567,0.63,Xach tay
HL00000069,VE00027461,3.98,Xach tay
HL00000070,VE00027461,10.02,Ky gui
HL00000071,VE00034994,2.25,Xach tay
HL00000072,VE00009359,24.63,Ky gui
HL00000073,VE00079841,1.48,Xach tay
HL00000074,VE00022432,2.72,Xach tay
HL00000075,VE00070011,5.7,Xach tay
HL00000076,VE00021418,5.64,Xach tay
HL00000077,VE00060590,5.98,Xach tay
HL00000078,VE00035383,5.54,Xach tay
HL00000079,VE00035383,6.93,Ky gui
HL00000080,VE00073001,1.75,Xach tay
HL00000081,VE00028786,27.07,Ky gui
HL00000082,VE00042505,8.29,Ky gui
HL00000083,VE00007332,11.72,Ky gui
HL00000084,VE00030022,16.96,Ky gui
HL00000085,VE00004208,5.9,Ky gui
HL00000086,VE00041348,5.51,Xach tay
HL00000087,VE00052582,31.52,Ky gui
HL00000088,VE00035094,4.93,Xach tay
HL00000089,VE00008676,2.6,Xach tay
HL00000090,VE00027654,6.14,Ky gui
HL00000091,VE00041246,11.84,Ky gui
HL00000092,VE00027870,10.37,Ky gui
HL00000093,VE00060143,1.23,Xach tay
HL00000094,VE00018727,13.76,Ky gui
HL00000095,VE00034719,2.29,Xach tay
HL00000096,VE00018302,5.63,Xach tay
HL00000097,VE00032326,0.77,Xach tay
HL00000098,VE00032326,26.15,Ky gui
HL00000099,VE00073580,4.38,Xach tay
HL00000100,VE00070645,1.08,Xach tay
HL00000101,VE00034439,1.09,Xach tay
HL00000102,VE00076623,30.13,Ky gui
HL00000103,VE00076485,6.61,Ky gui
HL00000104,VE00052351,23.94,Ky gui
HL00000105,VE00047448,8.4,Ky gui
HL00000106,VE00028747,6.88,Xach tay
HL00000107,VE00018132,25.43,Ky gui
HL00000108,VE00066785,16.85,Ky gui
HL00000109,VE00064687,4.98,Xach tay
HL00000110,VE00011916,1.38,Xach tay
HL00000111,VE00014372,3.34,Xach tay
HL00000112,VE00020034,5.03,Xach tay
HL00000113,VE00020970,1.71,Xach tay
HL00000114,VE00055334,5.26,Xach tay
HL00000115,VE00078173,5.9,Xach tay
HL00000116,VE00050433,6.86,Ky gui
HL00000117,VE00050020,2.42,Xach tay
HL00000118,VE00078105,2.89,Xach tay
HL00000119,VE00061349,4.65,Xach tay
HL00000120,VE00061349,15.23,Ky gui
HL00000121,VE00069353,0.62,Xach tay
HL00000122,VE00072513,11.45,Ky gui
HL00000123,VE00001505,22.77,Ky gui
HL00000124,VE00015015,15.46,Ky gui
HL00000125,VE00070382,18.43,Ky gui
HL00000126,VE00034974,21.55,Ky gui
HL00000127,VE00044588,4.67,Xach tay
HL00000128,VE00014622,3.9,Xach tay
HL00000129,VE00038470,5.93,Xach tay
HL00000130,VE00038470,8.5,Ky gui
