MaLich,MaCB,SoHieuMB,ThoiGianDi,ThoiGianDen,TrangThai
LB000001,CB000396,MB0032,2025-12-01 19:00:00,2025-12-02 09:05:00,Huy
LB000002,CB000401,MB0005,2024-12-21 17:45:00,2024-12-22 05:32:00,Dung gio
LB000003,CB000036,MB0056,2025-10-25 10:00:00,2025-10-26 00:59:00,Tre
LB000004,CB000422,MB0054,2024-04-18 13:30:00,2024-04-19 00:50:00,Tre
LB000005,CB000363,MB0020,2025-03-21 05:30:00,2025-03-21 16:30:00,Huy
LB000006,CB000397,MB0053,2025-04-21 13:30:00,2025-04-21 19:30:00,Dung gio
LB000007,CB000426,MB0013,2024-10-12 14:15:00,2024-10-13 03:33:00,Tre
LB000008,CB000292,MB0064,2025-11-15 12:30:00,2025-11-15 13:29:00,Tre
LB000009,CB000436,MB0033,2024-07-05 15:15:00,2024-07-05 21:48:00,Dung gio
LB000010,CB000175,MB0028,2025-09-02 22:30:00,2025-09-03 08:29:00,Dung gio
LB000011,CB000265,MB0023,2024-03-28 07:45:00,2024-03-28 16:35:00,Huy
LB000012,CB000389,MB0026,2025-12-08 15:45:00,2025-12-08 23:53:00,Dung gio
LB000013,CB000048,MB0031,2024-08-14 12:15:00,2024-08-14 17:58:00,Huy
LB000014,CB000189,MB0053,2025-07-20 16:30:00,2025-07-21 00:15:00,Huy
LB000015,CB000170,MB0041,2025-12-20 14:30:00,2025-12-20 20:13:00,Dung gio
LB000016,CB000119,MB0016,2024-07-16 10:00:00,2024-07-16 23:10:00,Huy
LB000017,CB000487,MB0078,2025-12-07 05:15:00,2025-12-07 09:26:00,Tre
LB000018,CB000142,MB0076,2025-08-26 16:30:00,2025-08-26 18:42:00,Dung gio
LB000019,CB000152,MB0025,2025-01-04 05:30:00,2025-01-04 06:14:00,Huy
LB000020,CB000065,MB0028,2024-02-16 01:30:00,2024-02-16 13:54:00,Dung gio
LB000021,CB000327,MB0092,2025-05-17 03:00:00,2025-05-17 13:17:00,Dung gio
LB000022,CB000241,MB0053,2025-03-27 10:15:00,2025-03-27 11:37:00,Dung gio
LB000023,CB000482,MB0092,2025-05-04 03:00:00,2025-05-04 10:20:00,Tre
LB000024,CB000038,MB0061,2025-10-06 21:00:00,2025-10-07 00:05:00,Dung gio
LB000025,CB000416,MB0061,2024-11-07 02:15:00,2024-11-07 04:46:00,Huy
LB000026,CB000392,MB0047,2025-09-12 19:15:00,2025-09-13 08:59:00,Huy
LB000027,CB000195,MB0050,2025-03-29 09:45:00,2025-03-29 15:27:00,Huy
LB000028,CB000318,MB0010,2025-09-16 23:00:00,2025-09-17 12:31:00,Dung gio
LB000029,CB000321,MB0024,2024-09-27 21:00:00,2024-09-28 00:10:00,Dung gio
LB000030,CB000089,MB0060,2024-03-17 05:00:00,2024-03-17 12:28:00,Tre
LB000031,CB000353,MB0063,2025-04-26 09:00:00,2025-04-26 13:27:00,Dung gio
LB000032,CB000362,MB0031,2025-12-20 14:00:00,2025-12-21 02:13:00,Dung gio
